store_id,category_type,category_value,source_name
72445,menu_category,ĐỒ UỐNG,menu_item_from_top5_json
126679,primary,Bún/Phở/Mỳ/Cháo,store_from_top5_json
126679,google_type,Nhà hàng châu Á,google_maps_unique
126679,menu_category,Mì Cay Sassin,menu_item_from_top5_json
126679,menu_category,Ăn Vặt,menu_item_from_top5_json
80180,primary,Bún/Phở/Mỳ/Cháo,store_from_top5_json
80180,google_type,Nhà hàng phở,google_maps_unique
80180,foody_category,Quán ăn,foody_hust_places
80180,menu_category,Cháo,menu_item_from_top5_json
80180,menu_category,Mì xào,menu_item_from_top5_json
80180,menu_category,Đồ uống,menu_item_from_top5_json
80180,menu_category,Mì trộn,menu_item_from_top5_json
80180,menu_category,Phở trộn,menu_item_from_top5_json
80180,menu_category,Miến trộn,menu_item_from_top5_json
80180,menu_category,Phở nước,menu_item_from_top5_json
80180,menu_category,Miến nước,menu_item_from_top5_json
47053,primary,Bún/Phở/Mỳ/Cháo,store_from_top5_json
47053,google_type,Quán ăn nhỏ,google_maps_unique
47053,foody_category,QuÃ¡n Äƒn,foody_hust_places
47053,menu_category,BÚN SƯỜN CHUA TRỘN,menu_item_from_top5_json
47053,menu_category,BÚN SƯỜN CHUA,menu_item_from_top5_json
47053,menu_category,CHÁO SƯỜN SỤN,menu_item_from_top5_json
47053,menu_category,Mỳ Sườn Chua Trộn,menu_item_from_top5_json
47053,menu_category,Đồ uống,menu_item_from_top5_json
47053,menu_category,Topping Thêm,menu_item_from_top5_json
47053,menu_category,Mỳ Sườn Chua,menu_item_from_top5_json
130783,primary,Bún/Phở/Mỳ/Cháo,store_from_top5_json
130783,google_type,Nhà hàng,google_maps_unique
130783,foody_category,Ăn vặt/vỉa hè,foody_hust_places
130783,menu_category,Bún Bò Huế Sườn,menu_item_from_top5_json
130783,menu_category,Bún Bò Huế,menu_item_from_top5_json
130783,menu_category,Bún Bò Huế Tự Chọn,menu_item_from_top5_json
130783,menu_category,Bún Bò Huế - Coca,menu_item_from_top5_json
130783,menu_category,Món Thêm,menu_item_from_top5_json
86930,primary,Bún/Phở/Mỳ/Cháo,store_from_top5_json
86930,google_type,Nhà hàng ăn nhanh,google_maps_unique
86930,foody_category,Quán ăn,foody_hust_places
86930,foody_cuisine,Món Bắc,foody_hust_places
86930,foody_cuisine,Món Miền Trung,foody_hust_places
